"eng__001","eng__002","eng__003","afr__001","afr__002","afr__003","afr__004","afr__005","afr__006","xho__001","xho__002","xho__003","xho__004","ssw__001","ssw__002","ssw__003","ssw__004","nde__001","nde__002","nde__003","tsn__001","tsn__002","tsn__003","tsn__004","nso__001","Syonym__-","nso__002","nso__003","nso__004","sot__001","sot__002","sot__003","ven__001","ven__002","ven__003","ven__004","ven__005","ven__006","tso__001","tso__002","tso__003","tso__004"
"tissue culture","","","weefselkultuur","","","","","","ukukhuliswa kwesicwili","","","","kukhuliswa kwemantfweshu ngaphandle","kukhuliswa kwemathishu ngaphandle","","","indlela yokukhuliswa kwethitjhu","","","kgodisotogwa","","","","kgodišothišu","","","","","kgodiso ya thishu ka kokwanahloko","","","khulisatsikila nga nnḓa ha muvhili","","","","","","vutikuriselathixu","","",""
"tissue extract","","","weefselekstrak","","","","","","okukhutshwe kwisicwili","","","","sikhanywa semantfweshu","sikhanywa semathishu","","","umtshephulo wethitjhu","itsherwana yethitjhu","","lenathwanatogwa","","","","tšeothišu","","tšeothišuphedi","","","ho ntshwa ha thishu","","","kupiḓa kwa tsikila","","","","","","xiendlwahithixu","","",""
"titration {chemistry}","","","titrasie","","","","","","ithayithreyishini","","","","kulinganisa bungako bekhemikhali","","","","ukuqarha","","","tekanyosetsibogi","thaethereišene","","","kelopapetšokhemikhale","","thaethereišene","","","semethaditswakwa","thaetreishene","","thaitharesheni","","","","","","thayithirexini","","",""
"titre <Great Britain>","titer","","titer","","","","","","ithayitha","","","","bungakombhubhudlo lobudzingekako","","","","umphumela wokuqarha","","","maatlatswako","","","","maatlatswaki","","thaetha","","","matla a ditswakwa","matla a thaetreishene","","thaitha","","","","","","thitha","","",""
"tolerance dose","maximum tolerated dose","","toleransiedosis","verdraagbare dosis","","","","","umlinganiselo ophezulu ongenabungozi","","","","silinganisomutsi lesisetulu lesingenabungoti","","","","isilinganiso esiphezulu esijamelekako","","","mothamokgotlhelelo","tekanyetsamolemokgotlhelelo","","","magomotekanyosehlare","","","","","tekanyo e amohelehang","","","phimamushongagumofulu","","","","","","mpimamurhihenhlankaghozi","","",""
"tongue-depressor","","","tongplankie","tongstokkie","tongafdrukker","","","","isicinezelilwimi","","","","sicindzetelilulwimi","","","","isigandelelilimi","","","segatelelaloleme","","","","segatelelaleleme","","","","","sehatellaleleme","","","tshindondomedza lulimi","","","","","","xitshikelelaririmi","","",""
"tonic","","","tonikum","versterkmiddel","versterker","","","","ithonikhi","","","","sibuyisimandla","sivuselelimandla","ithonikhi","","isibuyisimandla","ithonikhi","","thoniki","","","","seno","","thoniki","","","moriana wa morolo","thoniki","","thoniki","","","","","","thoniki","","",""
"tonsillitis","","","tonsillitis","mangelontsteking","","","","","ukudumba kwamadlala omqala","iithonsi","","","emantjintjiwane","","","","amatsinini","","","dikodu","","","","tšhatšhamelothurugokodu","","tšhatšhamelothurugothaka","","","borurusi ba ditemetwane","","","u zwimba ha thanga","nzwimbathanga","","","","","mpfimbaxindzin'wana","ndzhumbelo wa xindzin'wana","",""
"toothache","","","tandpyn","","","","","","uqaqamba kwezinyo","","","","buhlungu belitinyo","","","","ubuhlungu bezinyo","","","kopoleino","thunyoino","","","kopoino","","thunyetšoino","","","ho opa ha leino","","","u rema ha iṋo","","","","","","mpandzatino","","",""
"topical <adj.>","","","plaaslik","topikaal","","","","","-thanjiswayo","","","","-kwesikhumba","","","","-kwesikhumba","-kokwezesa","","-tlalong","","","","-letlalong","","","","","-letlalo","","","lukanda","","","","","","-nhlonge","","",""
"topical product {to apply e.g. to the skin}","","","topikale produk","","","","","","ichiza elithanjiswayo","","","","umutsi logcotjiswako","","","","isezeso","","","kunoletlalong","setshasaletlalo","","","setšweletšwatlalo","","","","","sehlahiswa sa letlalo","","","tshiḓodzwalukanda","tshishumiswalukandani","","","","","xitotanhlonge","","",""
"topical route","","","topikale roete","plaaslike aanwending","","","","","ichiza elingena ngesikhumba","","","","kugcotjiswa kwemutsi","","","","ukwezeswa kwesihlahla","","","tlolo","tshaso","","","tshepetšohlaretlalo","","","","","ho monyela ha moriana letlalong","","","vhushumisamushonga lukanda","","","","","","ntotaswidzidziharisi enhlongeni","","",""
"toxicity","","","toksisiteit","","","","","","izingatyhefu","","","","lizinga lebutsi","","","","ubutjhefu","ubungako betjhefu","","bolengtlhole","","","","bompholo","","","","","botjhefu","","","vhukhombo","thokhozisithi","u vha khombo","","","","mpimachefu","mpimavuxungu","",""
"toxicology","","","toksikologie","gifleer","","","","","inzululwazi ngobutyhefu bamayeza","","","","sifundvo ngebutsi","","","","irhubhululo ngobutjhefu","ithokzikholoji","","bolepatlhole","","","","thuto ka tša mpholo","","thotompholo","","","thuto ka tsa tjhefu","","","vhugudamulimo","thokhozikholodzhi","","","","","ntivochefu","ntivovuxungu","",""
"toxin","","","toksien","toksine","","","","","ityhefu","","","","butsi","","","","itjhefu","","","botlhole","","","","mpholo","","","","","tjhefu","","","mulimo","tshefu","","","","","chefu","vuxungu","",""
"trachea","wind pipe","","tragea","lugpyp","","","","","uqhoqhoqho","","","","chochocho","bhongwane","","","uqhoqhoqho","","","kgokgotsho","","","","kgokgokgo","","tselamoya","","","peipi ya moya","","","phaiphi ya muya","","","","","","kholokholo","phayiphi ya moya","",""
"trachoma {inflammatory disease of the eye}","","","tragoom","","","","","","ukukrala kwamehlo","ithrakhoma","","","ithrakhoma","","","","umhlobo wobulwele bamehlo","umhlobo wesifo samehlo","ithrakhoma","therakhoma","","","","thurugoihlo","","therakhoma","","","trakhoma","","","thrakhoma","","","","","","xinyeku","","",""
"traditional medicine","","","tradisionele medisyne","tradisionele geneesmiddels","","","","","iyeza lesintu","","","","umutsi wendzabuko","umutsi wesintfu","","","umtjhoga","isihlahla sesintu","","kalafi ya setso","","","","sehlare sa setšo","","","","","kalafo ya setso","","","dzilafho ḽa sialala","dzilafho ḽa mvelo","","","","","murhixintu","murhindhavuko","",""
"tranquilliser <Great Britain>","tranquillizer","","kalmeermiddel","susmiddel","","","","","iyeza lokuzolisa","iyeza lokuthomalalisa","","","sidzambisimisipha","","","","isidambisi","","","seokobatsi","","","","thrankhwilaesa","","therankhwilaesa","","","sekokobetsi","","","mushonganzikisi","","","","","","xirhurisi","ximbuweteri","",""
"transdermal route {applied to the skin}","","","transdermale roete","transdermale aanwending","","","","","iyeza elinqumla esikhumbeni","","","","umutsi longeniswa ngesikhumba","","","","indlela yokufaka emzimbeni ngesikhumba","","","tlolothalalotlalo","tshasothalalotlalo","","","tshepetšogaretlalo","","","","","ho kengwa ha moriana tlasa letlalo","","","kudzheniselwe kwa mushonga lukandani","","","","","","nghenisamurhi-hi-lenhlongeni","","",""
"trauma {physical or emotional shock}","","","trauma","trouma","","","","","ukungxwelerheka","ithroma","","","kulimala emoyeni nasemtimbeni","","","","ukulimala kumbi emmoyeni namkha emzimbeni","ithroma","","letshogolegolo","","","","theroma","","","","","kotsi mmeleng","thefulo mmeleng kapa maikutlong","","u vhaisala muyani","u vhaisala ṋamani","","","","","mbavisekamoya","mbavisekamiri","",""
"trimester {obstetrics}","","","trimester","","","","","","unyangantathu wokukhulelwa","itrayimesta","","","sigaba sinye kuletintsatfu tekukhulelwa","","","","ikota yokuba sidisi","ithrayimesta","","kgweditharong","","","","kgweditharong","","","","","kgweditharo","","","tshifhinga tsha miṅwedzi miraru tsha vhuimana","","","","","","xiphemunharhu vuyimanini","","",""
"troche {small tablet}","","","suigtabletjie","suigpilletjie","","","","","ipilisi emuncwayo","ithrorhu","","","liphilisi lelimunywako","","","","ipilisi elimunywako","","","pilisimomonwa","terotšhe","","","pilisimonwa","","therotšhe","","","pidisi e qhibidihang ka hanong","trotjhe","","throtshe","","","","","","philisimunyungeriwa","","",""
"tumour","","","tumor","gewas","","","","","ityhuma","","","","simila","lifa","liguludla","","ilifa","itjhuma","","tlhagala","kankere","","","sekutu","","tšhuma","","","hlahala","","","khentsa","pfuko","ṱhahala","thyuma","","","nkukumukaxitshumba","","",""
"turmeric","curcuma","","borrie","","","","","","ityhumerikhi","","","","ithumeirkhi","","","","itjhumerikhi","","","tšhumeriki","","","","tšhumeriki","","","","","tjhumeriki","","","thumeriki","","","","","","chumeriki","","",""
"type 1 diabetes","","","tipe 1-diabetes","","","","","","isifo seswekile sohlobo 1","","","","sifo sashukela seluhlobo 1","sifo sashukela lesijovelwako kuphela","sifo sashukela lotalwa naso","","idayibhethisi yomhlobo woku-1","itjhukela yomhlobo woku-1","","mofutasukiri 1","","","","bolwetšiswikiri 1","","","","","lefu la tswekere la mofuta wa 1","lefu la tswekere ya lefutso","","daibethisi ya lushaka 1","","","","","","vuvabyi bya chukela bya muxaka wa 1","","",""
"type 2 diabetes","","","tipe 2-diabetes","","","","","","isifo seswekile sohlobo 2","","","","sifo sashukela seluhlobo 2","sifo sashukela semjovo nobe emaphilisi","","","idayibhethisi yomhlobo wesi-2","itjhukela yomhlobo wesi-2","","mofutasukiri 2","","","","bolwetšiswikiri 2","","","","","lefu la tswekere la mofuta wa 2","lefu la tswekere la tsela ya ho phela","","daibethisi lushaka 2","","","","","","vuvabyi bya chukela bya muxaka wa 2","","",""
"ultrasound","","","ultraklank","","","","","","upopolosisu ngemitha","ialtrasawundi","","","i-althrasawundi","","","","indlela yokubona ingaphakathi lomuntu","i-althrasawundi","","setlhatlhobi-sekapamodumo","","","","phekolomodumo","","aletherasaonte","","","tlhahlobo ka modumo","","","aḽiṱirasaundu","altrasaundu","","","","","ndlela yo vona endzeni ka miri","alitirasawundi","",""
"unit dose","single dose","","eenheidsdosering","","","","","","umlinganiselo omnye opheleleyo","","","","silinganisomutsi lesihamba ngasinye","umtsamomutsi lohamba ngamunye","","","isilinganiso esisetjenziswa kanye","isilinganiso sinye","","mothamonosi","tekanyetsamolemonosi","","","tekanyosehlaretšhomišotee","","sehlaretšhomišo gatee","","","tekanyonngwe ya moriana","","","phimamushonganthihi","","","","","","mpimamurhikan'we","","",""
"urea","","","ureum","karbamied","karbamide","","","","iyuriya","","","","iyuriya","","","","iyuriya","","","yuria","","","","yuriya","","","","","yuria","","","yuria","","","","","","yuriya","","",""
"uric acid","","","uriensuur","urinesuur","","","","","iyurikhi asidi","","","","i-esidi yeyuriki","","","","i-esidi yeyurikhi","","","esiti ya yuriki","","","","esiti ya yuriya","","","","","esiti ya yuria","","","dungi ya yurike","yurikiesidi","","","","","yurikiasidi","","",""
"urinary system","","","urienstelsel","urinestelsel","","","","","inkqubomzimba yokuchama","","","","luhlelokushobinga","luhlelokuchama","luhlelokugcabhaza","","irherho lomhlambuluko","","","matlhamaganyane a tlhapologo","","","","mokgwapeakanyo mohlapologo","","mokgwapakanyomoroto","","","taolo ya ditho tsa moroto","","","sisiṱeme ya murundo","sisteme ya murundo","sisiṱeme ya mushisho","sisteme ya mushisho","","","sisiteme ya mitsakamiso","sisiteme ya murhundzu","sisiteme ya mixixito",""
"urticaria","hives","","galbulte","urtikaria","netelroos","urtikarie","","","izigxala nokudumba","iethikheriya","","","emadzengedla","sifokucubuka","","","inghwayinghwayi","","","borupomologo","","","","menyabidi","","yuthikhariya","","","mosolo","","","munyavhili","","","","","","manyavila","","",""
"vaccination","","","vaksinering","vaksinasie","inenting","","","","ukugonya","","","","kugoma","","","","ukugoma","uku-enda","","kento","tlhabelo","","","kento","","moento","","","moento","","","muhaelo","nzivhela","","","","","nsawutiso","","",""
"vaporiser <Great Britain>","vaporizer","vapouriser","verdamper","","","","","","isenzimphunga","","","","sihwamukisi","","","","isirhwamukisi","","","semowafatsi","","","","semoyafatši","","","","","semoyafatsi","","","tshiḓimuli","tshidimudzi","","","","","xiphomisi","","",""
"vein {anatomy}","","","aar","vena","","","","","unobuyisagazi","","","","umtsambo lobuyisako","","","","umthambo obuyisako","","","tshikelapelong","","","","tšhikaseišamadipelong","","tšhikasetšeamadimmeleng","","","mothapo o busang madi","","","lutsinga","","","","","","nsihangatithyaka","","",""
"ventricle","","","ventrikel","hartkamer","","","","","igunjana elikumzantsintliziyo","iventrikli","","","ligumbinhlitiyo lelingentasi","","","","igumbi lehliziyo elingenzasi","iventhrikhili","","karolopelo","","","","lešobapelo","","venthirikhele","","","phaposi e ka tlase pelong","","","lufhera lwa venthrikiḽi","lufhera lwa venṱhirikiḽi","lufhera lwa mbilu","","","","vhentirikili","","",""
"viral <adj.>","","","virus","viraal","","","","","-eevayirasi","","","","-phatselene nemavayirasi","-phatselene nemagciwane","","","-phathelene nomulwana","","","-mogare","","","","-amegago le kokwananatlhoko","","","","","-kokwanahloko","","","vhangwa nga vairasi","mbangwa nga vairasi","","","","","-xitsongwatsongwana","","",""
"virucide","viricide","","virusdoder","virisied","viriside","","","","isibulalavayirasi","","","","sibulalimavayirasi","sibulalimagciwane","","","isibulalimulwana","","","sebolayamogare","","","","sebolayakokwanatlhoko","","","","","sebolayakokwanahloko","","","tshivhulahavairasi","tshivhulayavairasi","","","","","xidlayaswitsongwa tsongwana","","",""
"viscosity","","","viskositeit","vloeibaarheid","","","","","ukujiya","ubunqumbululu","","","kwetiya","","","","ukujiya","","","themo","","","","kgahlo","","themo","","","boreberebe","","","vhugwindi","vhubyindi","","","","","vuhalaki","","",""
"vitiligo {white spots on skin}","","","vitiligo","","","","","","umjanyane","ivitiligo","","","ivithiligo","sifo sekugucuka kwembala wesikhumba","","","ivithiligo","","","vithiliko","phetogommalatlalo","","","bolwetšiphetošammalatlalo","","vithiliko","","","mabadi a kganyang letlalong","vethilikho","","tshendukalukanda","tshandukalukanda","vithiḽigo","","","","mapele","","",""
"wart {hard rough lump growing on hands or feet}","","","vrat","vratjie","","","","","intsumpa","","","","insumphe","","","","iwathi","","","kgoto","kakana","","","tlhokofele","","tšhupe","","","tatamoloko","","","phopho","","","","","","nhlungu","","",""
"wet granulation {of powders}","","","nat granulering","nat granulasie","","","","","uhlalutyisomgubo ngokumanzisa","","","","kwenta lokusatinhlavu ngekusebentisa emanti","","","","ukubumba iinthoro ngetlelezi","","","popothorometsi","","","","thorofatšoseela","","","","","popeho ya dithollo ka metsi","","","tshiluḓitsikadzhoro","tshiluḓitshisikamadzhoro","","","","","ndzhohohato wa swihalaki","njhorhohato wa swihalaki","",""
"wheezing","","","asemfluit","asemfluiting","","","","","ukutswina kwesifuba","","","","kunswininita kwesifuba","","","","ukutswitswiza","","","khemolodi","","","","tswinyofahla","","","","","mohemo o molodi","","","u swiswiṱa","","","","","","ndzilaxifuva","","",""
"whooping cough","hooping cough","","kinkhoes","pertussis","","","","","unkonkonko","","","","ikenkusi","lukhwehlekhwehle","","","umkhohlokhohlo","ikenkusi","","kgookgoo","","","","lethakgo","","kotokoto","","","mokgokgothwane","","","tshikwaikwai","","","","","","nkikosi","xikwayikwayi","",""
"withdrawal symptom","","","onttrekkingsimptoom","","","","","","ukuguliswa kukuyeka iziyobisi","ukuguliswa kukuyeka unyango","","","inkhomba yekuyekela kuhuceka","","","","isitjengisi sokuliswa kokukhobongako","itshwayo elitjengisa ukulisa okugqilazako","","ditshupo tsa itlwaololo","","","","sekatlogelookobatši","","","","","matshwao a ho tswa bokgobeng ba dithethefatsi","","","tsumbadwadzenditshazwidzidzivhadzi","","","","","","xikombantshikaswidzidziharisi","","",""
"yellow fever","","","geelkoors","","","","","","ulubhelushe","ifiva yecesina","iyellow fever","","iyelofiva","","","","iyelofiva","","","letshoromatshetlha","","","","letadimodipa","","","","","feberu e sehlefatsang","","","dalindulu","","","","","","darinyongwa","","",""
