"eng__001","eng__002","eng__003","eng__004","eng__005","afr__001","afr__002","afr__003","afr__004","afr__005","zul__001","zul__002","zul__003","xho__001","xho__002","xho__003","ssw__001","ssw__002","ssw__003","ssw__004","nde__001","nde__002","nde__003","nde__004","tsn__001","tsn__002","tsn__003","tsn__004","nso__001","nso__002","nso__003","sot__001","sot__002","ven__001","ven__002","ven__003","ven__004","tso__001","tso__002","tso__003","tso__004"
"voter literacy","","","","","kiesersgeletterdheid","","","","","ulwazi ngokuvota","","","ulwazi ngovoto","","","lwati ngekuvota","","","","ilwazi ngokuvowuda","","","","kitso ya batlhophi","","","","bokgoni bja go bala le go ngwala bja bakgethi","","","tsebo ka dikgetho","","nḓivho ya vhakhethi","nḓivho ya vhavouti","","","litiresi ya vahlawuri","litiresi ya vavhoti","",""
"voter registration","","","","","kiesersregistrasie","","","","","ukubhaliswa kwabavoti","","","ukubhalisela uvoto","","","kubhaliswa kwebavoti","","","","ukutlolisa kwabavowudi","","","","kwadiso ya batlhophi","","","","go retšisetara ga bakgethi","boingwadišo bja bakgethi","","boingodiso ba bakgethi","","vhuḓiṅwalisi ha vhakhethi","vhuḓiṅwalisi ha vhavouti","","","ntsariso wa vahlawuri","ntsariso wa vavhoti","",""
"voter registration campaign","","","","","kiesersregistrasieveldtog","","","","","umkhankaso wokubhaliswa kwabavoti","","","iphulo lokubhalisela uvoto","","","umkhankhaso wekubhaliswa kwebavoti","","","","ijima lokutloliswa kwabavowudi","","","","letsholokwadiso la batlhophi","","","","khampheine ya go retšisetara ya bakgethi","lesolo la go retšisetara ga bakgethi","","letsholo la boingodiso ba bakgethi","","fulo ḽa u ṅwalisa vhakhethi","fulo ḽa u ṅwalisa vhavouti","","","pfhumba ra ntsariso wa vahlawuri","pfhumba ra ntsariso wa vavhoti","",""
"voter registration drive","","","","","kiesersregistrasieaksie","","","","","ukugqugquzela ukubhalisela ukuvota","","","iphulo lokubhaliswa kwabavoti","","","umkhankhaso wekubhaliswa kwebavoti","umtamo wekubhaliswa kwebavoti","","","ijima lokutloliswa kwabavowudi","","","","letsholokwadiso la batlhophi","","","","tlhohleletšo ya boingwadišo bja bakgethi","","","letsholo la boingodiso ba bakgethi","","u kunga vhakhethi uri vha ḓiṅwalise","u kunga vhavouti uri vha ḓiṅwalise","","","pfhumba ro rhamba vahlawuri ku titsarisela","pfhumba ro rhamba vavhoti ku titsarisela","",""
"voter registration table","","","","","kiesersregistrasietafel","","","","","itafula lokubhalisela abavoti","","","itafile yokubhalisela abavoti","","","litafula lekubhalisela bavoti","","","","itafula yokutlolisa abavowudi","","","","tafoleikwadiso ya batlhophi","","","","tafola ya boingwadišo bja bakgethi","","","tafole ya boingodiso ba bakgethi","","ṱafula ḽa u ṅwalisa vhakhethi","ṱafula ḽa u ṅwalisa vhavouti","","","tafula ra ntsariso wa vahlawuri","tafula ra ntsariso wa vavhoti","",""
"voter’s card","","","","","kieserskaart","","","","","ikhadi lomvoti","","","ikhadi lomvoti","","","likhadi lemvoti","","","","ikarada lomvowudi","","","","karata ya motlhopi","","","","karata ya mokgethi","karata ya mobouti","","karete ya mokgethi","","garaṱa ya mukhethi","garaṱa ya muvouti","","","khadi ra muhlawuri","khadi ra muvhoti","",""
"voter’s eligibility document","","","","","kieserstemgeregtigheidsdokument","","","","","umbhalo ogunyaza umvoti","","","isiqinisekisomfaneleko yokuvota","","","incwajana legunyata umvoti","","","","umtlolo wokuvumeleka ukuvowuda","","","","lokwalo lwa tshwanelo ya go tlhopha","","","","tokomane ya maswanedi a go bouta","","","tokomane ya tokelo ya mokgethi","","ḽiṅwalo ḽa thendelo ya mukhethi","ḽiṅwalo ḽa thendelo ya muvouti","","","tsalwa ra ndzinganelo ra muhlawuri","tsalwa ra ndzinganelo ra muvhoti","",""
"voters’ roll","electoral list","voters’ list","","","kieserslys","","","","","uhlu lwabavoti","","","umqulu woluhlu lwabavoti","","","luhlu lwebavoti","","","","irhelo labavowudi","","","","lenaane la batlhophi","","","","lenaneo la bakgethi","","","lenane la bakgethi","","mutevhe wa vhakhethi","mutevhe wa vhavouti","","","rhijisitara ra vahlawuri","rhijisitara ra vavhoti","",""
"voter’s roll check","","","","","kieserslyskontrole","","","","","ukuhlola uhlu lwabavoti","","","ukuhlolwa komqulu woluhlu lwabavoti","","","kuhlola luhlu lwebavoti","","","","ukuhlolwa kwerhelo labavowudi","","","","tlhatlhobo ya lenaane la batlhophi","","","","tekolo ya lenaneo la bakgethi","tekolo ya lenaneo la babouti","","tekolo ya lenane la bakgethi","","u ṱola mutevhe wa vhakhethi","u ṱola mutevhe wa vhavouti","","","nkambelo wa nongonoko wa vahlawuri","nkambelo wa nongonoko wa vavhoti","",""
"voters’ roll officer","","","","","kieserslysbeampte","","","","","obhekele uhlu lwabavoti","isiphathimandla sohlu labavoti","","igosa lomqulu woluhlu lwabavoti","","","losebenta ngeluhlu lwebavoti","","","","isiphathiswa serhelo labavowudi","","","","motlhankedi wa lenaane la batlhophi","","","","molekodi wa lenaneo la bakgethi","molekodi wa lenaneo la babouti","","mohlanka wa lenane la dikgetho","","muofisiri mulangi wa mutevhe wa vhakhethi","muofisiri mulangi wa mutevhe wa vhavouti","","","muofisiri wa nongoloko wa vahlawuri","muofisiri wa nongoloko wa vavhoti","",""
"voting","polling","","","","stemming","","","","","ukuvota","","","ukuvota","","","kuvota","kukhetsa","","","ukuvowuda","","","","tlhopho","","","","go bouta","go kgetha","","ho kgetha","","u vouta","u khetha","","","ku hlawula","ku vhota","",""
"voting age","","","","","stemouderdom","","","","","ubudala obuvumela ukuvota","","","ubudala obuvumela ukuvota","","","umnyaka lokuvumela kuvota","","","","umnyaka wokuvowuda","ubudala bokuvowuda","","","dingwagatlhopho","","","","mengwagatumelelo ya go bouta","","","dilemo tsa ho kgetha","","miṅwaha ya u vouta","miṅwaha ya u khetha","","","malembe yo hlawula","malembe yo vhota","",""
"voting age population number","","","","","aantal stemgeregtigdes","stemouderdomgetal","","","","isibalo somphakathi ovumeleke ukuvota ngokobudala","","","inani labantu abakwiminyaka evumela ukuvota","","","sibalo sebantfu labaneminyaka yekuvota","","","","inani labantu bomnyaka wokuvowuda","inani labantu bobudala bokuvowuda","","","palogotlhe ya ba ditlhopho","","","","palo ya ba maloka a go bouta","","","palo ya baahi ba dilemong tsa ho kgetha","","tshivhalo tsha vha miṅwaha ya u vouta","tshivhalo tsha vha miṅwaha ya u khetha","","","nhlayo ya vanhu hinkwavo lava nga eka malembe yo hlawula","nhlayo ya vanhu hinkwavo lava nga eka malembe yo vhota","",""
"voting booth","ballot booth","polling booth","","","stemhokkie","","","","","ikhosombana lokuvotela","","","indlwana yokuvotela","","","indlwana lekuvotelwa kuyo","","","","ikghokghomeje yokuvowudela","ibhuthi yokuvowudela","irhorhomeje yokuvowudela","","ntlwanatlhophelo","","","","ntlwana ya go boutela","","","sekgutlwana sa ho kgethela","","lufhera lwa u voutela","lufhera lwa u khethela","","","xiyindlwana xo hlawulela","xiyindlwana xo vhotela","",""
"voting constituency","","","","","kiesafdeling","","","","","indawo yabavoti","","","ummandla wabavoti","","","sigodzilukhetfo sekuvota","sigcemelukhetfo sekuvota","","","isifundakhetho","","","","kgaolotlhopho","","","","karolokgetho","","","lebatowa la dikgetho","","fhethu ha u voutela","fhethu ha u khethela","vhukhetheloni","","ndhawu ya vaseketeri","ndhawu ya vahlawuri","",""
"voting day help list","","","","","stemdaghulplys","","","","","uhlu lokusiza ngosuku lokuvota","","","uluhlu lwezixhobo zemini yovoto","","","luhlu lwekusita lwangelilanga lekuvota","","","","irhelo lesizo ngelanga lokuvowuda","irhelo lesizo ngelanga lekhetho","","","lenaanethuso la letsatsi la go tlhopha","","","","lenaneotlhahli la letšatši la dikgetho","","","dayari ya dikgetho","","mutevhe wa thuso wa ḓuvha ḽa u vouta","mutevhe wa thuso wa ḓuvha ḽa u khetha","","","nongoloko wa swipfuno swa siku ra nhlawulo","nongoloko wa swipfuno swa siku ro vhota","",""
"voting day report form","","","","","stemdagverslagvorm","","","","","ifomu lombiko wosuku lokuvota","","","ifomu yengxelo ngomhla wovoto","","","lifomu lekubika ngelilanga lekuvota","","","","iforomombiko lelanga lekhetho","iforomombiko lelanga lokuvowuda","","","foromopegelo ya letsatsi la ditlhopho","fomopegelo ya letsatsi la ditlhopho","","","foromo ya pego ka letšatši la dikgetho","","","foromo ya tlaleho ya letsatsi la dikgetho","","fomo ya muvhigo wa ḓuvha ḽa u vouta","fomo ya muvhigo wa ḓuvha ḽa u khetha","","","fomo ya xiviko xa siku ra nhlawulo","fomo ya xiviko xa siku ro vhota","",""
"voting district","electoral district","polling district","","","stemdistrik","","","","","isifunda sokuvotela","","","isithili sovoto","","","sigodzi sekuvotela","","","","isiyingi sokuvowudela","","","","kgaolotlhopho","setereke sa ditlhopho","","","seletekgetho","","","setereke sa dikgetho","","tshiṱiriki tsha u voutela","tshiṱiriki tsha u khethela","","","xifundza xa nhlawulo","","",""
"voting district adjustment form","","","","","stemdistrikaanpassingsvorm","","","","","ifomu lokuchibiyela esifundeni sokuvotela","","","ifom yohlengahlengiso yesithili sovoto","","","lifomu lekuntjintja imininingwane yesigodzi sekuvotela","","","","iforomo lamatjhuguluko lesiyingi sokuvowudela","","","","foromotolamiso ya kgaolotlhopho","fomotolamiso ya kgaolotlhopho","","","foromo ya phetošo ya tshedimošo ya seletekgetho","","","foromo ya tokiso ya setereke sa dikgetho","","fomo ya u dzudzanyulula ya tshiṱiriki tsha u voutela","fomo ya u dzudzanyulula ya tshiṱiriki tsha u khethela","","","fomo yo cinca vuxokoxoko exifundzheni xo hlawulela","fomo yo cinca vuxokoxoko exifundzheni xo vhotela","",""
"voting district number","","","","","stemdistriknommer","","","","","inamba yesifunda sokuvotela","inombolo yesifunda sokuvotela","","inombolo yesithili sovoto","","","inombolo yesigodzi sekuvotela","","","","inomboro yesiyingi sokuvowudela","","","","nomoro ya kgaolotlhopho","","","","nomoro ya seletekgetho","","","nomoro ya setereke sa dikgetho","","nomboro ya tshiṱiriki tsha u voutela","nomboro ya tshiṱiriki tsha u khethela","","","nomboro ya xifundza xo hlawulela","nomboro ya xifundza xo vhotela","",""
"voting irregularity","","","","","verkiesingsonreëlmatigheid","","","","","ukungahambisi ngendlela yokuvota","","","ukuphuma kumgaqo wovoto","","","kwephula umtsetfo wekuvota","kutiphatsa kabi ekuvoteni","","","okuphambene nekambiso yokuvowuda","umtjhapho","","","phoso ya ditlhopho","","","","bošaedi dikgethong","","","phoso dikgethong","","kuvoutele kwo khakheaho","kukhethele kwo khakheaho","","","ku vhota ko hoxeka","","",""
"voting material","","","","","verkiesingsmateriaal","","","","","izinsiza zokuvota","","","izixhobo zovoto","","","tinsita tekuvota","tisetjentiswa tekuvota","","","iinsetjenziswa zokuvowuda","","","","didiriswa tsa ditlhopho","","","","didirišwa tša go kgetha","","","disebediswa tsa dikgetho","","zwishumiswa zwa u vouta","tshomedzo ya u khetha","tshomedzo ya u vouta","zwishumiswa zwa u khetha","switirhisiwa swo hlawulela","switirhisiwa swo vhotela","",""
"voting population","","","","","stemgeregtigdes","stemgeregtigde bevolking","","","","abantu abangavota","","","abavoti","","","linanibantfu lelingavota","","","","abavowudi","","","","batlhophi botlhe","","","","batho ba maswanedi a go bouta","batho ba maloka a go bouta","","bakgethi","","vhavouti","vhakhethi","","","vahlawuri hinkwavo","vavhoti hinkwavo","",""
"voting procedure","","","","","stemprosedure","","","","","inqubo yokuvota","","","inkqubo yovoto","","","inchubo yekuvota","","","","ikambiso yokuvowuda","","","","mokgwatsamaiso wa ditlhopho","","","","tshepedišo ya dikgetho","","","mokgwa wa ho kgetha","","mavoutele","makhethele","","","mafambiselo ya nhlawulo","","",""
"voting station","polling station","","","","stemlokaal","","","","","isikhungo sokuvotela","","","isikhululo sovoto","","","siteshi sekuvotela","sikhungo sekuvotela","","","isitetjhi sokuvowudela","","","","seteišene sa ditlhopho","","","","setiši sa dikgetho","seteišene","","setsi sa dikgetho","","tshiṱitshi tsha u voutela","tshiṱitshi tsha u khethela","","","xitichi xo hlawulela","xitichi xo vhotela","",""
"voting station form","polling station form","","","","stemlokaalvorm","","","","","ifomu lesikhungo sokuvotela","","","ifom yesikhululo sovoto","","","lifomu lesikhungo sekuvotela","lifomu lesiteshi sekuvotela","","","iforomo lesitetjhi sokuvowudela","","","","foromo ya seteišene sa ditlhopho","","","","foromo ya setiši sa dikgetho","foromo ya seteišene sa dikgetho","","foromo ya setsi sa dikgetho","","fomo ya tshiṱitshi tsha u voutela","fomo ya tshiṱitshi tsha u khethela","","","fomo ya xitichi xo hlawulela","fomo ya xitichi xo vhotela","",""
"voting station identification form","polling station identification form","","","","stemlokaalidentifikasievorm","","","","","ifomu etshengisa isikhungo sokuvotela","","","ifom ebonisa izikhululo zovoto","","","lifomu lekwatisa ngesiteshi sekuvotela","","","","iforomo elikhombisa isitetjhi sokuvowudela","","","","foromoitshupo ya seteišene sa ditlhopho","fomoitshupo ya seteišene sa ditlhopho","","","foromo ya tlhaolo ya setiši sa dikgetho","foromo ya tlhaolo ya seteišene sa dikgetho","","foromo ya boitsebiso ya setsi sa dikgetho","","fomo ya vhuḓiṱalusi ya tshiṱitshi tsha u voutela","fomo ya vhuḓiṱalusi ya tshiṱitshi tsha u khethela","","","fomo ya vutitivisi ya xitichi xo hlawulela","fomo ya vutitivisi ya xitichi xo vhotela","",""
"voting station report","polling station report","","","","stemlokaalverslag","","","","","umbiko wesikhungo sokuvotela","","","ingxelo yesikhululo sovoto","","","umbiko wesiteshi sekuvotela","umbiko wesikhungo sekuvotela","","","umbiko wesitetjhi sokuvowudela","","","","pegelo ya seteišene sa ditlhopho","","","","pego ya setiši sa dikgetho","pego ya seteišene","","tlaleho ya setsi sa dikgetho","","muvhigo wa tshiṱitshi tsha u voutela","muvhigo wa tshiṱitshi tsha u khethela","","","xiviko xa xitichi xo hlawulela","xiviko xa xitichi xo vhotela","",""
"voting system","","","","","stemstelsel","","","","","uhlelo lokuvota","","","inkqubo yovoto","","","inchubo yekuvota","indlela yekuvota","","","irherho lokuvowuda","","","","thulaganyo ya ditlhopho","","","","mokgwatshepetšo wa dikgetho","","","tsamaiso ya dikgetho","","sisteme ya kuvoutele","sisteme ya kukhethele","","","endlelo ro hlawula","endlelo ro vhota","",""
"ward {district of a city}","","","","","wyk","","","","","isigceme","iwadi","","iwadi","","","sigceme","liwadi","","","iwadi","iwodi","","","kgoro","kutla wate","","","wate","","","wate","","wadi","","","","wadi","","",""
"ward ballot paper","","","","","wykstembrief","","","","","iphepha lokuvota lesigceme","iphepha lokuvota lewadi","","iphepha lokuvota lewadi","","","liphepha lekuvota lesigceme","liphepha lekuvota leliwadi","","","iphepha lokuvowuda lewadi","iphepha lokuvowuda lewodi","","","pampiritlhopho ya kgoro","baloto ya wate","pampiritlhopho ya kutla","pampiritlhopho ya wate","pampiri ya go kgetha ya wate","","","pampiri ya dikgetho ya wate","","baḽotho ya wadi","","","","phepha ro hlawulela ra wadi","phepha ro vhotela ra wadi","baloto ya wadi",""
"ward committee","","","","","wykskomitee","","","","","ikomiti lesigceme","ikomiti lewadi","","ikomiti yewadi","","","likomidi lesigceme","likomidi lewadi","","","ikomidi yewodi","ikomidi yewadi","","","komiti ya kgoro","komiti ya kutla","komiti ya wate","","komiti ya wate","","","komiti ya wate","","komiti ya wadi","","","","komiti ya wadi","","",""
"ward councillor","","","","","wyksraadslid","","","","","ikhansela lesigceme","ikhansela lewadi","","uceba wewadi","","","likhansela leliwadi","likhansela lesigceme","","","ikhansela yewadi","ikhansela lewodi","","","mokgotla wa kgoro","mokhansela wa wate","molekgotla wa kutla","","mokhantshelara wa wate","","","khanselara ya wate","","mukhantseḽara wa wadi","","","","mukhanselara wa wadi","","",""
"ward elections","","","","","wyksverkiesing","","","","","ukhetho lwesigceme","ukhetho lwewadi","","unyulo lwewadi","","","lukhetfo lweliwadi","lukhetfo lwesigceme","","","amakhetho wewodi","amakhetho wewadi","","","ditlhopho tsa wate","","","","dikgetho tša wate","","","dikgetho tsa wate","","khetho dza dziwadi","","","","nhlawulo wa tiwadi","","",""
"wasted vote","","","","","verkwiste stem","vermorste stem","","","","ivoti elonakele","","","ivoti engabaliyo","","","livoti lelonakele","","","","ivowudi elonakeleko","","","","tlhopho e e senyegileng","voutu e e senyegileng","","","boutu yeo e sentšwego","","","kgetho e senyehileng","","voutu yo tambiseaho","khetho yo tambiseaho","","","vhoti leyi nga hlayiwiki","","",""
"youth vote","","","","","jeugstem","","","","","ivoti lentsha","","","ivoti yolutsha","","","livoti lelusha","","","","ivowudi yelutjha","","","","ditlhopho tsa bašwa","","","","dikgetho tša bafsa","dikgetho tša baswa","","kgetho ya batjha","","voutu ya vhaswa","khetho ya vhaswa","","","ku hlawula ka vantshwa","ku vhota ka vantshwa","",""
"zip-zip machine","bar-code scanning unit","eZiskan","","","zip-zip-masjien","eZiskan","strepieskodeaftaster","","","umshini wokufunda amagabelo","","","umatshini wokuskena ibha-khowudi","","","umshini wekufundza emagabelo","","","","umtjhini wokuthebula umtlolofihlo","","","","motšhini wa zip-zip","","","","motšhene wa go netefatša paakhouto","motšhene wa zip-zip","","motjhini wa zip-zip","","mutshini wa zip-zip","mutshini wa u sikena baakhoudu","","","muchini wo sikena bakhodi","muchini wa zip-zip","",""
