,eng ,eng definition ,category,afr ,nde ,xho ,zul ,nso ,sot ,tsn ,ssw ,ven ,tso 
899,Quality management,Systems and frameworks in place within an organisation to manage the quality of statistical products and processes.,Statistical Processes/Methodology/Metadata,Gehaltebestuur,Amahlelo wokulawula ikhwalithi,"ulawulo olusemgangathweni, ukuphatha ngexabiso",Ukulawulwa kwezingabunjalo,Taolo ya boleng,Tsamaiso ya boleng,Taoloboleng,Kuphatfwa kwekucinisekiswa kwelizinga / Licophelo,Ndangulo ya khwalithi ya tshitatistika/ndeme,Vufambisi bya nkoka
900,Question,A request for information.,Statistical Processes/Methodology/Metadata,Vraag,Umbuzo,Umbuzo,Umbuzo,Potio,Potso,Potso,Umbuto,Mbudziso,Xivutiso
901,Questionable statistics,"Statistics which meet almost none of the quality requirements as stipulated by Stats SA. They are designated as questionable statistics to the extent that no deductions can be made, and they are therefore unusable.",Statistical Processes/Methodology/Metadata,Twyfelagtige statistieke,Iimbalobalo ezisolekako / ezizazekako,Iinkcukacha-manani ezikrokrisayo,Izibalo ezisolisayo,Dipalopalo ta go belaeta,Dipalopalo tse belaetsang,Dipalopalo tse di belaetsang,Imininingwanelubalo lengabatekako,Mbalombalo- / zwitatistikatshayafulufhelo,Tinhlayohlayo/khwexinere yo kanakanisa
902,Questionnaire,"A group or sequence of questions designed to elicit information upon a subject, or a sequence of subjects, from an informant.",Statistical Processes/Methodology/Metadata,Vraelys,Irhelomibuzo,Uxwebhu lwemibuzo,Uhlamibuzo; inhlolomibuzo,Lenaneopotoloio,Lenane la dipotso,Lenaneopotsolotso,Luhlamibuto,Mbudzisombekanywa,Nongonoko wa swivutiso/khwexinere
903,Questionnaire design,The process of developing a questionnaire.,Statistical Processes/Methodology/Metadata,Vraelysontwerp,Ukutlanywa kwerhelomibuzo,Uyilo loxwebhu lwemibuzo,Ukumiswa kohlamibuzo/kwenhlolomibuzo,Tlhamo ya lenaneopotoloio,Moralo wa lenane la dipotso,Modiro wa lenaneopotsolotso,Luhlakasimo lweluhlamibuto,Vhuolambudzisombekanya,Mavumbelo ya nongonoko wa swivutiso/khwexinere
904,Rate,"The amount of something considered in relation to, or measured according to another amount multiplied by a constant, usually 100 or 1 000 or 100 000, e.g. birth rate.",Statistical Processes/Methodology/Metadata,Koers,Isilinganiso,Umlinganiselo,Izinga,Kelo,Sekgahla,Kelo,Lizinga,Phimo,Mpimo
905,Rate of change,"The estimate that indicates percentage change in the variables of interest over two different periods of time. It shows the growth or decline in such variables. For instance Gross Domestic Product (GDP) growth rates, rate of inflation, population growth rates, etc.",Statistical Processes/Methodology/Metadata,Koers van verandering,Isilinganiso samatjhuguluko,Umlinganiselo wotshintsho,Izinga lenguquko,Kelo ya phetogo,Sekgahla sa phetoho,Kelophetogo,Lizinga lekuntjintja,Phimatshanduko,Mpimo wa ncinco
906,Record number,"A unique number usually from 001600 pre-printed in the Enumerator Area Summary Book.
Note: During listing, each dwelling unit or other place to be visited for purposes of enumeration is associated with a separate record number in the EA Summary Book. Each record number is on a separate line or row.",Statistical Processes/Methodology/Metadata,Rekordnommer,Inomboro yerekhodi,inombolo yerekhodi,Inamba yokuhlukanisa imininingwane,Nomoro ya rekhote,Nomoro ya rekoto,Nomoro ya rekoto,Inombolo yelirekhodi,Nomboro ya rekhodo,Nomboro yo rhekhoda
907,Reference period,"The period of time (day, week, month, or year) for which information is relevant.",Statistical Processes/Methodology/Metadata,Verwysingstydperk,Isikhathi esiqaliweko,Ixesha lokungqinisisa,Isikhathi okuthathiselwa kuso,Paka ya thupeto,Nako e boletsweng,Pakatotilweng,Sikhatsi lekukhonjwa/-bhekiswa kuso,Tshifhingandivhiswa,Nkarhi lowu kongomiweke
908,Refusal,Situation when a household or individual refuses to answer the questions or complete the questionnaire.,Statistical Processes/Methodology/Metadata,Weiering,Ukwala/ukubhala,Ukwala,Ukwenqaba,Kgano,Kgano,Kgano,Kwala,Ndandulo / khano,Nkaneto
909,Refusal letter/form,"The form completed by the data collector when a respondent refuses to answer the questions or to complete a questionnaire, with the reasons for the refusal.",Statistical Processes/Methodology/Metadata,Weieringsbrief/-vorm,Incwadi yokwala / yokubhala ; iforomo lokwala / lokubhala,Ileta yokwala /ifomu yokwala,Incwadi/ifomu lokunqaba/lokwenqaba,Lengwalo/foromo ya kgano,Lengolo/foromo ya kgano,Lekwalokgano / foromokgano,Incwadzi/lifomu lekwala,iwalo fomo / ndandulo / khao,Papila / fomo yo kaneta
910,Respondent,The person or organisation that answers the questions or completes the questionnaire.,Statistical Processes/Methodology/Metadata,Respondent,Umphenduli,Umphenduli,Ophendula imibuzo/ umphenduli,Mmotolowa,Moarabi,Motsibogi; Moarabi,Umphendvuli/umniketimininingwane,Muvhudziswa / mufhinduli,Muhlamuri
911,Sample,Part of the population on which information can be obtained to infer about the whole population of units of interest.,Statistical Processes/Methodology/Metadata,Steekproef,Isampula,Isivandlakanyi,Isampula,Setsopolwa/sampolo,Sampole,Tseosekao; motlopolo,Isampula,Tsumbonanguludzwa /tsumbotopolwa,Sampula
912,Sample survey,A survey conducted using a sample.,Statistical Processes/Methodology/Metadata,Steekproefopname,Iphenyo / ihlolo yesampula,Uvandlakanyo lokuhlola,Ukuhlola ngesampula,Tekolonyakiio ka setsopolwa/sampolo,Dipatlisiso ka disampole,Tlhotlhomiso ya tseosekao/motlopolo,Kusaveya ngekusampula,Tsedzulusotsumbonanguludzwa/tsedzulusotsumbotopolwa,Mbalango wa sampula
913,Sampling,Selecting elements from a population in such a way that they are representative of the population.,Statistical Processes/Methodology/Metadata,Steekproefneming,Ukusampula/Ukukhetha/Ukudzubhula,Uvandlakanyo,Ukusampula /ukuhlola,Tsopolo/go sampola,Ho sampola,Tseosekao/Motlopolo,Kusampula,Vhukhethatsumbonanguludzwa / topolwa,Ku sampula
914,Sampling error,That part of the difference between a population value and an estimate derived from a random sample which is due to the fact that only a sample was observed. See non-sampling error.,Statistical Processes/Methodology/Metadata,Steekproeffout,Umtjhapho wokusampula /wokukhetha / wokudzubhula,Impazamo yovandlakanyo,Iphutha ekusampuleni,Phoo ka tsopolo/go sampola,Phoso ya sampole,Phosotseosekao,Liphutsa lekusampula,Tshaedza vhukhethatsumbonanguludzwa / topolwa,Xihoxo xa ku sampula
915,Sampling frame (Methodology and Standards),A comprehensive list of distinct and distinguishable units within a population from which a sample is drawn.,Statistical Processes/Methodology/Metadata,Steekproefraamwerk (Metodologie en Standaarde),Isakhelelo sokusampula/isakhelelo sokukhetha/isakhelelo sokudzubhula,Isakhelo sovandlakanyo (iMethodoloji nemiGangangatho),Uhlaka lokusampula/ lokuhlola (indlela nezinga),Tlhako ya tsopolo/sampolo,moralo wa sampole (Mekgwa le Maemo),Letlhomesotseosekao,Luhlaka lwekusampula (indlelanchubo nemazinga),Mutheo wa vhukhethatsumbonanguludzwa / topolwa mutheo wa tsumbonanguludzwa / tsumbotopolwa (Ngona / Maitele na Ndinganyiso),Furemi ya ku sampula (maendlelo na ndzinganeriso)
916,Sampling method,"See cluster sampling, multi-stage sampling, simple random sampling, stratified sampling, and systematic sampling.",Statistical Processes/Methodology/Metadata,Steekproefmetode,Indlela yokusampula /yokukhetha / yokudzubhula,Isikhokelo sovandlakanyo,Indlela yokusampula,Mokgwatsopolo/mokgwa wa go sampola,Mokgwa wa ho sampola,Mokgwatseosekao/mokgwatlopolo,Indlela yekusampula,Ngona / maitele a tsumbonanguludzwa /tsumbotopolwa / ngona / maitele a vhukhethatsumbonanguludzwa / topolwa,Maendlelo ya ku sampula
917,Scanning,"A process of effectively converting questionnaires into images.
Note: The scanner reproduces the questionnaires as they are, in the form of an image.",Statistical Processes/Methodology/Metadata,Skandering,Ukuthebula,"ukuskena, ukuguqulela amagama asencwadini yemibuzo emfanekisweni",Ukuguqulela emfanekisweni,Go sekena,Ho skhena,Go sekena,Kusikena / Kutfwebula,U skena,Ku sikena
918,Self-enumeration,The practice whereby respondents complete the questionnaire themselves.,Statistical Processes/Methodology/Metadata,Selftelling,Ukuziphendulela,Ukuziphendulela,Ukuzibala,Boipalo,Ho ipala,Boipalo,Kutibala,Vhuiadzela mbudzisambekanya ya mbalavhathu,Ku tihlaya
919,Simple random sampling (SRS),Sampling method in which the desired elements are selected by a chance or probability process and each element in the population has an equal chance of being selected.,Statistical Processes/Methodology/Metadata,Eenvoudige ewekansige steekproefneming,Ukusampula ngokulingana,Uvandlakanyo olungabophelelekanga (iSRS),Ukusampula okungalandeli hlelo (i-SRS),Tsopolokgonagalonolo,Ho sampola ho bobebe ka lotho,Tseosekaofelanolo/motlopolofelanolo,Kusampula lokungakahleleki,Vhukhethatsumbonanguludzwa / topolwa zwaho,Sampulantlovatlovo wo olova (SNO)
920,Statistical standard,"A comprehensive set of guidelines for surveys and administrative sources collecting information on a particular topic, including definitions, statistical units, classifications, coding processes, questionnaire modules, and output categories.",Statistical Processes/Methodology/Metadata,Statistiese standaard,Ivumelwanofaniso leembalobalo,Umgangatho weenkcukacha-manani,Izinga lokubala,Motheokakareto wa dipalopalo,Boemo ba dipalopalo,Kemokaelo ya dipalopalo,Lizinga lemininingwanelubalo,Ndinganyiso ha mbalombalo / tshitatisitika,Ndzinganeriso wa swa tinhlayohlayo
921,Statistical unit,"Any unit, about which statistics are tabulated, compiled or published.",Statistical Processes/Methodology/Metadata,Statistiese eenheid,Ihlavu yeembalobalo,Icandelo leenkcukacha-manani,Iyunithi yokubala,Yuniti ya dipalopalo,Yuniti ya dipalopalo,Yuniti ya dipalopalo/Sebadi,Iyunithi yemininingwanelubalo,Vhukhethatsumbonanguludzwa / topolwa khethekanywa / zwitatisitika,Yuniti ya swa tinhlayohlayo
922,Stratification,A sampling procedure in which the population is divided into homogeneous subgroups or strata and the selection of samples is done independently in each stratum.,Statistical Processes/Methodology/Metadata,Stratifikasie,Ukudzubula ngeenkoro,ukubeka ngokwamaqela,Ukuhlukanisa ngokwamaqoqo,Tlhopho,Ho bopa dihlopha,Kgaoganyo / Karoganyo,Kuhlelembisa bantfu ngeluhlobo lwabo,U sitrathifaya / Khethekanyo (nga dzikilasi/zwigwada),Ntlawahato
923,Stratified sampling,Sampling method in which the population is divided into homogeneous sets or strata with respect to the characteristics being studied and a random sample is drawn from each stratum independently.,Statistical Processes/Methodology/Metadata,Gestratifiseerde steekproefneming,Ukusampula ngamakoro / ngeenkoro,Uvandlakanyo ngokohlobo oluthile,Ukusampula ngokwezigaba,Tsopolotlhopha go ya ka magoro/go sampola go ya ka magoro,Ho sampola ka dihlopha,Tseosekao ka ditlhophatshwano,Kusampula lokuhlelekile,Tsumbonanguludzwakhethekanywa/tsumbotopolwakhethekanywa,Ku sampula hi mitlawa
924,Study domain,A segment of the population for which separate statistics are needed.,Statistical Processes/Methodology/Metadata,Studiegebied,Umkhakha werhubhululo,"inkalo yophando, inkalo yophononongo",Ucwaningo lwengxenye ethile,Karolo ya nyakiio,Tikoloho ya tlhahlobo,Lephatapatlisiso,Incenye yebantfu lekufanele icubungulwe,Sia a / Tshipida tsha vhugudi,Xiyenge xa vulavisisi
925,Survey,"A process which collects, examines, and reports on data concerning variables of interest for a reference period.",Statistical Processes/Methodology/Metadata,Opname,Iphenyo; ihlolo,Uhlolo,Uhlolo,Tekolonyakiio,Dipatlisiso,Tlhotlhomiso,Isaveyi,Tsedzuluso / savei,Mbalango
926,Systematic sampling,"Sampling method in which the elements are numbered consecutively and the first unit (n) in the sample is selected randomly. The sample is selected by taking the nth, (n+s) th, (n+2s) th, ,,.. etc., where n is not larger than the sampling interval (s), which is obtained by dividing the total population by the sample size.",Statistical Processes/Methodology/Metadata,Sistematiese steekproefneming,Ukusampula /ukukhetha / ukudzubhula ngerherho,Uvandlakanyo olucwangcisiweyo,Usampula ngokuhlelekile,Go tsopola go ya ka lenaneopeakanyo/go sampola go ya ka lenaneopeakanyo,Ho sampola ho hlophisitsweng,Tseosekao e e rulaganeng/motlopolo o o rulaganeng,Kusampula ngeluhlelonchubo,Vhukhethatsumbonanguludzwa / topolwa mbekanywa,Ku sampula hi sisiteme
927,Target population,"The set of elements about which information is wanted and estimates are required. Practical considerations may dictate that some units are excluded (e.g. institutionalised individuals, the homeless, or those who are not possible to access without incurring excessive cost).",Statistical Processes/Methodology/Metadata,Teikenbevolking,Umphakathi oqothelweko,abantu ekujoliswe kubo,umphakathi ohlosiwe / Oqondiwe,Batho ba ba nepiitwego,Batho ba hlwailweng,Baagitotilweng,Bantfu lekubukwe bona / Lekucondvwe kubo,Tshitshavha tsho tiwaho / Tshitshavha tsho topolwaho / Tshitshavha tsho mvaiwaho,Vanhu vo karhi
928,Term,A designation of a defined concept in a special language by a linguistic expression.,Statistical Processes/Methodology/Metadata,Term,Ithemu,igama,Itemu,Lereo,Lereo,Lereo,Ligama / Lithemu,Themo,Theme
929,Tiling,A process of identifying false positives visually before they are passed to the completion process.,Statistical Processes/Methodology/Metadata,Vierdelingstabellering,Ukuhlenga,ukuhluza,Ukuhlunga,Go bapeta,Tshupo e fosahetseng,Tlhokololwa / Tlhotlha,Indlela yekuhlolisisa emaphutsa ngembi kwekuphotfula imininingwane,Tsedzuluso ya u fhedzisela/U thaia (ha siatisitiki),Nkumisiso
930,Value domain,A set of permissible values.,Statistical Processes/Methodology/Metadata,Waardegebied,Umkhakha wobungako,inkalo yeempawu zentsulungeko,Okuvumelekile / Okwamukelekile,Mehola,Palo e dumellehang,Lephatakamogelwa / Lephatatetlelelwa,Tindlela letemukelekile tekutiphatsa,Domeini ya/Sia la zwa ndeme,Xiyenge xa swipfumeleriwa
931,Value meaning,The meaning or semantic content of a value.,Statistical Processes/Methodology/Metadata,Waardebetekenis,Ihlathululo yobungako,intsingiselo yeempawu zentsulungeko,Ubungako / Ubunjalo,Tlhaloso ya mehola,Moelelo wa palo,Bokaotetlelelwa / Bokaokamogelwa,Inshokutsi yendlela yekutiphatsa,halutshedzo ya ndeme,Nhlamuselo ya swipfumeleriwa
932,Weight,The importance of an object in relation to a set of objects to which it belongs.,Statistical Processes/Methodology/Metadata,Gewig,Ubudisi,ukubaluleka ngobunzima benkcukacha,Isisindo,Boima,Boima / Bohlokwa,Boima / Bokete,Kubaluleka / Bumcoka bentfo,Tshileme,Ntikelo
933,Accommodation service enterprise,"An enterprise unit, the principal activity of which is to provide temporary stay to a guest who in return pays an amount of fee charged. Inclusions: hotels, motels, inns, caravan parks and camping sites, guest houses, guest farms, bed-and-breakfast enterprises, all kinds of lodges, accommodation in natural surroundings, game lodges/nature reserves offering mostly accommodation (exclude if part of game reserve, also earning income for preservation/ conservation purposes), furnished holiday flats and chalets, holiday resorts, student residences, hostels, boarding houses, backpacker or school dormitories and other accommodation not elsewhere classified.",System of Business Registers ,Akkommodasiediensonderneming,Irhwebo leendawo zokuhlalisa,Ushishino ngeenkonzo zemizi yotyelelo,Amabhizinisi yezindawo zokulala,Kgwebokgolo ya tirelo ya borobalelo,Kgwebokgolo ya ditshebeletso tsa bodulo,kgwebo ya marobalo/bonno,Libhizinisi letinsita tekulala/tekuhlala,Bindu a tshumelo ya vhulalo,Bindzunyingi ra vukorhokeri bya vutshamo
934,Active enterprise,An enterprise unit that is operational in the open market and that has paid value added tax and/or income tax to the South African Revenue Service at least once.,System of Business Registers ,Aktiewe onderneming,Irhwebo elisebenzako,Ishishini elisebenzayo,Ibhizinisi elisasebenza,Kgwebokgolo ye e phelago/ omago,Kgwebo e sebetsang,Kgwebo e e dirang,Libhizinisi lelisebentako / leliphilako,Bindu i shumaho,Bindzunyingi leri tirhaka
935,Activity,A process involving a combination of actions that result in a certain set of products and services.,System of Business Registers ,Aktiwiteit,Umsebenzi,Ushishino,Umsebenzi,Modiro/moomo,Tshebetso,Tiro,Umsebenti lowentiwako,Vhuitwa / mushumo,Nghingiriko
936,Ancillary activity (System of Registers),"An activity that supports the main productive activity of an enterprise by providing non-durable goods or services, entirely or primarily for the use of the enterprise.
Note: The output is intended for immediate consumption within the same enterprise and is therefore not recorded separately, e.g. bookkeeping, transportation, cleaning services, etc.",System of Business Registers ,Aanvullende aktiwiteit (Registerstelsel),Umsebenzi osekelako,Inkxaso kushishino oluyintloko (iNkqubo yoBhaliso),Umsebenzi oyisithasiselo (uhlelo lokubhalisa),Moomotlaleleto/modirotlaleleto,Tshebetso ya tlatsetso,Tirwanatlaleletso,Umsebenti lochakele,Vhuitwa-/mushumothikhedzi (Sisiteme ya Vhuwalisi),Nghingiriko wo seketela (sisiteme ya tirhejisitara)
937,Associated company,A company with more than 25% but less than 50% of its issued share capital owned by another company.,System of Business Registers ,Geassosieerde maatskappy,Ikhampani eyabelwako,Inkampani yendibaniselwano,Inkampani ebambisene nenye,Khampani ya mohlakanelwa,Khamphani e nang le kamano,Kgwebommogo,Inkapani lehlanganyelwe,Khamphaninyananywa,Khamphaniyelano
938,Balance date,A calendar date on which a business last paid value added tax and/or income tax.,System of Business Registers ,Balanseerdatum,Ilanga lokugcina lomthelo,Umhla wokugqibela wokuhlawula irhafu,Usuku lokugcina lwamabhuku,Tatikgwedi ya tefelamothelo,Letsatsi la tefo,Letlhatshalelo,Lilanga lekwagcinwa ngalo,uvha a / datumu ya ndinganywa,Sikundzinganiso
