eng,afr,zul,xho,ssw,nbl,nso,tsn,sot,ven,tso
transactions demand,transaksievraag,inani lemali ebekelwa ukukhokhela izidingo,imfuneko yentengiselwano,sidzingo sekutsengiselana,isidingo samathransektjhini,nyako ya kgwebo,topo ya diteransekešene,tlhoko ya diphapanyetsano,tshelede ya u renga,nxavelano wo lava mali yo yi tirhisa
transactions demand for money,transaksievraag na geld,inani lemali ebekelwa ukukhokhela izidingo,imfuneko yentengiselwano ngemali,sidzingo sekutsengiselana semali,isidingo samathransektjhini wemali,nyako ya dikgwebo tša tšhelete,topo ya diteransekešene mabapi le madi,tlhoko ya diphapanyetsano tsa tjhelete,tshelede ya u renga,nxavelano wo lava mali yo yi tirhisa
transfer earnings,oordraginkomste,imali edluliswayo,inzuzo yokudlulisa,inkhokhelo leyendlulisiwe,imirholo edluliswako,meputsophetišetšo,tšhelete e e fetisiwang,moputso o fetiswang,mbuelo dza ṱhirantshifee,muholo wo hundzisiwa
transfer payment,oordragbetaling,inkokhelo edluliswayo,intlawulo yokudlulisa,inkhokelo leyendluliswako,imali edluliswako,tefelophetišetšo,go fetisa tuelo,tefo e fetiswang,mbadelo ya ṱhirantshifee,hakelo yo hundzisiwa
transitional economies,oorgangsekonomieë,iminotho esaguquka,uqoqosho lwentengiselwano,iminotfo yesikhashana,iminotho esatjhugulukako,diekonomi tše di fetogago,diikonomi tsa tshiamiso,moruo e nakong ya diphetoho,ikonomitshandulwa,tiikhonomi leti ta ha cincaka
transitivity utility,transitiwiteitsnut,ukusetshenziswa okungaguquka,uncedo oludlulayo,kusetjentiswa lokunekugucuka,ukusebenziseka okukhambelanako,tšhomišophetedi,tiriso ya tshiamo,kgotsofatso ya Moelelo o kekelang,yuthiḽithi ya ṱhiransithivi,mpfuno lowu cincaka
treasury bills,skatkiswissels,amabhili okushintshiniselana,iibhili zikanondyebo,imbadaliso yetemafa,amabhili womNyango wokuLawulwa kweeMali,melaokakanywa ya tša matlotlo,dibili tsa matlotlo,dibili tsa Banka ya Bohareng,biḽi dza thirezhari,mali leyi nga bangi ya le xikarhi
tying contract,bindkontrak,inkontileka ebophayo,iikontrakti ezibophayo,inkontileka lebophako,isivumelwano esibophako,kontraka ya boipofo,konteraka e e tlamang,Tumellano e tlamellang,konṱiraka ya mbofho,kontiraka leyi bohaka
U-form (unitary form) of corporate organisation,E-vorm (eenheidsvorm) van korporatiewe organisasie,isimo sika-U (isimo sokuhlangana) senkampani,i-U-form (ifomu edibanisayo) yombutho wembumba,indlela yekubuyisandzawonye kwenhlangano yenkopolo,umhlobo ongu-U (womhlobo wobunye) wehlangano yehlanganisela,foromo ya botee ya mekgahlo ya kgwebo,mokgwa wa K (mokgwa o o kopaneng) wa mokgatlho wa kgwebo,mokgwa wa U (unitary form) wa tlhophiso ya dikhamphani.,tshivhumbeotsha U tsha dzangano ḽa khophoreithi,malulamiselo ya bindzu ya U
unanticipated inflation,onverwagte inflasie,ukwehla kwamandla emali okungalindelwe,ukunyuka kwentengo okungalindelekenga,kwehla kwemandla emali lokungakabhekwa,ukukhuphuka kwentengo okungakalindelwa,infleišene ye e seng ya emelwa,infoleišene e e sa solofelwang,infleishene e sa lebellwang,inifuḽesheni i song lavhelelwaho,ku tlakuka ka mixavo loku nga languteriwangiki
underemployment,onderindiensneming,amathuba emisebenzi asezingeni eliphansi,ukuqesha kancinane,kucashwa ngalokungakapheleli,ukungasebenzi ngokwaneleko nanyana ngokupheleleko,thwalo ya fasana ya bašomedi,tiropotlana,kgiro e haellang,vhutholwagake,mpfumaleko wa mitirho ya nkarhi wo leha
undistributed corporate profits,onverdeelde maatskappywins,izinzuzo zezinhlangano ezingabiwanga,iingeniso zembumba ezingabiwanga,tinzuzo letingakabiwa tebhizinisi,iinzuzo ezihlanganisiweko ezingakahlukaniswa,dikholo tšeo di se go tša phatlalatšwa tša kgwebo,dipoelo tse di sa abiwang tsa setlamo,phaello ya dikhamphani e sa ajwang,mbuelo dza khophoreithi dzi songo avhiwaho,mimbuyelo ya bindzu leyi nga kanganyisiwangiki
unemployed,werkloses,ngaqashiwe,abangaqeshwanga,kungasebenti,ngasebenziko,bahlokamešomo,batlhokatiro,ba sa sebetseng,vhashayamishumo,lava nga tirhiki
unemployment,werkloosheid,ukuntuleka kwamathuba emisebenzi,intswela-ngqesho,kweswelakala kwemsebenti,ukungasebenzi,tlhokego ya mešomo,botlhokatiro,kgaello ya mesebetsi,vhushayamishumo,mpfumaleko wa mitirho
unemployment compensation,werkloosheidskompensasie,isinxephezelo sokungasebenzi,imbuyekezo yentswela-ngqesho,sincepheteliso sekweswelakala kwemsebenti,isililiso sokungasebenzi,phumulamegokgo go tlhokego ya mešomo,pusetso ya madi ya botlhokatiro,tlhapiso ya kgaello ya mesebetsi,ndifhelo ya vhushayamishumo,ndziriso wa ku pfumaleka ka mitirho
unemployment insurance,werkloosheidsversekering,umshuwalensi wokungasebenzi,i-Inshorensi yentswela-ngqesho,umshwalensi wekweswelakala kwemsebenti,itjhorensi yephiko lombuso yokubhadala abantu abaphelelwe msebenzi,inšorense go tlhokego ya mešomo,inšorense ya botlhokatiro,inshorense ya kgaello ya mesebetsi,ndindakhombo ya vhushayamishumo,ndzindzakhombo wa mpfumaleko wa ntirho
unemployment rate,werkloosheidskoers,izinga lokuntuleka kwemisebenzi,iqondo lentswela-ngqesho,lizinga lekweswelakala kwemsebenti,isilinganiso sabantu abangasebenziko,tekanyo ya tlhokego ya mešomo,kelo ya botlhokatiro,sekgahla sa kgaello ya mesebetsi,phimo ya vhushayamishumo,mpimo wa mpfumaleko wa mitirho
uniform goods,eenvormige goedere,izimpahla ezifanayo,iimpahla ezifanayo,imphahla lefananako,iimpahla ezifanako,diphahlo tša go swana,dithoto tse di siameng,thepa e sa ntlafatswang,zwibveledzwa zwi no fana,nhundzu leyi fanaka
uninsurable risk,onversekerbare risiko,ukulahleklwa okungenakuthengelwa mshwalensi,umngcipheko Ongenakuinshorwa,ingoti yekubabete kwemshwalensi,ingozi engafakwa etjhorensini,kotsi ya go se lefelwe ke inšorentshe,kgonagalo ya kotsi e e sa inšoregeng,kotsi e sa kgoneng ho nkelwa tshireletso ya inshorense,khovhakhombo i sa tsireledzei,ndzingo lowu ka rindzekiki
union shop,vakbondgebinde werkplek,isitolo senyonyana yabasebenzi,ishophu yombutho wabasebenzi,sitolo senyonyane yetisebenti,umsebenzi wesivumelwano sokuqatjha amalunga wenyonyana yabasebenzi,lefelo la mokgahlo wa bašomi,lebenkele la mokgatlho wa badiri,kopanelo ya Mokgatlo wa basebetsi,mufoleloni,vhengele ra yuniyoni
unit,eenheid,iyunithi,iyunithi,silinganiso,iyunithi,yuniti,yuniti,yuniti,yuniti,yuniti
unit costs,eenheidkoste,izindleko zokukodwa,iindleko ngeyunithi,tindleko tesilinganiso,iindleko zeyunithi,theko ya yuniti,ditshenyegelo tsa yuniti,tefo ya yuniti,tshinyalelo nga yuniti,nxavo wa yuniti
unit elastic demand,eenheidelastiesevraag,ukuguquguquka kwezidingo ngokweyunithi,imfuneko eguquka ngeyunithi,sidzingo lesigucukako sesilinganiso,itjhuguluko lenanipahla elilingana netjhuguluko lentengo,nyako ya yuniti ye e fetogago,topo ya yuniti ya taologo,tlhoko e sarolohang ya yuniti,tshanduko ya u tepa ha yuniti,ku cincacinca ka yuniti ya swilaveko
unit elasticity,eenheidselastisiteit,ukuguquguquka kweyunithi,ukuguquguquka kweyunithi,kugucuka kwesilinganiso,itjhuguluko lenanipahla elilingana netjhuguluko lentengo,tharamologo ya yuniti,taologo ya yuniti,ho saroloha ha yuniti,u tepa ha yuniti,ku cincacinca ka yuniti
unit labour cost,eenheidsarbeidskoste,izindleko zomsebenzi ngeyunithi yomkhiqizo,iindleko zomsebenzi ngokweyunithi,tindleko temsebenti wesilinganiso,Iindleko zomsebenzi iyunithi ngalinye,theko ya yuniti ya mošomo,tshenyegelo ya yuniti ya tiro,tefo ya yuniti ya basebetsi,yuniti ya tshinyalelo dza vhashumi,yuniti ya nxavo wa mutirhi
unit of account,rekeneenheid,iyunithi ye-akhawunti,iyunithi yeakhawunti,silinganiso semabhuku etimali,iyunithi le-akhawundi,yuniti ya akhaonte,yuniti ya akhaonto,yuniti ya akhaonto,yuniti ya tshinyalelo,yuniti ya nkota
unit tax,eenheidsbelasting,intela yeyunithi,irhafu yeyunithi,umtselo wesilinganiso,umthelo wamayunithi,motšhelo wa yuniti,lekgetho la yuniti,lekgetho la yuniti,muthelo nga yuniti,xibalo xa yuniti
universal benefits,universele voordele,imihlomulo kawonkewonke,iinkxaso zabantu bonke,umhlomelo wawonkhewonkhe,iinzuzo zakawokewoke,dikhologohle,dithuso tsa botlhe,menyetla ya bohle,malamba a tshayamikano,mbuyelo wa mani na mani
unlimited,onbeperk,okungenamkhawulo,engenamda,lokunganamkhawulo,nganamkhawulo,tlhokabogomo,go tlhoka tekanyetso,ho senang tekanyo,tshayampimo,nkalampimo
unlimited wants,onbeperkte behoeftes,izimfuno ezingenamkhawulo,imfuno ezingenamda,tidzingo letingenamkhawulo,iimfuno ezinganamkhawulo,dinyakwa tša go hloka bogomo,go batla go go senang tekanyetso,ditlhoko tse se nang meedi,sakha ḽi sa nyeṱhi,swilaveko swa nkalampimo
unplanned changes in inventories,onbeplande veranderings in voorraadlyste,ushintsho olungahleliwe ohlwini lwezimpahla ezisesitokweni,iinguqu ezingacetywanga kuluhlu lweempahla,tingucuko letingakahlelwa eluhlwini,amatjhuguluko angakatlanywa wamarhelo wamabizo weempahla kanye neentengo,diphethogo tšeo di sego tša rulaganywa ka ga mananeo a diphahlo,diphetogo tse di sa rulaganngwang mo dilwaneng,diphetoho tse sa hlophiswang tsa palo ya phahlo,tshanduko dzi song lavhelelwaho dza tshiṱoko,ku cinca ka nxaxamelo wa nhundzu
unplanned investment,onbeplande investering,utshalomali olungahleliwe,utyalomali olungacetywanga,kusisa lokungakahlelwa,isisomali elingakatlanywa,peeletšo ye e sego ya beakanywa,peeletso e e sa rulaganngwang,letsete le sa hlophisetswang,vhubindudzi honehone,vuvekisi lebyi nga kunguhatiwangiki
Uruguay round,Uruguay-onderhandelingsronde,isivumelwano sase-Uruguay,isivumelwano se-Uruguay,situngeletane sase-Uruguay,isivumelwano sokurhwebelana se-Uruguay,tumelelano ya Uruguay,kgato ya Uruguay,round ya Uruguay,thendelano ya Uruguay,rhengu ra Uruguay
usury laws,woekerwette,imithetho yokubolekisa ngemali,imithetho yenzala,imitsetfo yekubolekisa,imithetho yokubizwa kwemalinzalo ephezulu ngemali ebolekisiweko,melao ya koketšo,melao ya kadimo ya madi,molao wa kadimo ya sekgahla se hodimo,milayo milangakhadzimiso,milawu ya ursury
util,util,iyunithi yokwaneliseka,iyunithi yokwaneliseka,kufikela,iyunithi ekhangelwayo ekuthengeni impahla,kagosafeleng,go fitlhela,util,u-ya-ho-ya,yuniti yo ehleketelela
utilities,nutsdienste,izisetshenziswa,amancedo,tisetjentiswa,iinsetjenziswa,ditirelo,ditiriso,ditshebeletso,yuthiḽithi (madzanga),pipfuno
utility,nutsdienste,ukusebenzisa,uncedo losetyenziso,sisetjentiswa,ukusebenziseka,kholo,tiriso,kgotsofatso,yuthiḽithi (dzanga),mpfuno
utility-maximizing rule,nutmaksimaliseerreël,umthetho wokwenyusa ukusetshenziswa,umthetho wokukhulisa uncedo losetyenziso,umtsetfo wekwenyusa kusetjentiswa,umthetho wokukhuphula ukusebenziseka,molao wa tšhomišo ye e phethagetšeng,molao o o oketsang tiriso,molawana wa kgodisokgolo ya kgotsofatso,mulayo wa u ṱhakhamedza yuthiḽithi,nawu wa ku magzimayiza mpfuno
value,waarde,inani,ixabiso,linani lemali,amandla,"bohlokwa, mohola",boleng,boleng,ndeme,nkoka
value added,toegevoegde waarde,inali elengeziwe,ixabiso elongeziweyo,kwengetwa kwentsengo,isalela yomkhiqizo,theko ye e okeditšwego,boleng jo bo tsentsweng,tse kentsweng boleng,ndeme ya tshibveledzwa,ntsengo lowu engeteriweke
value-added tax,belasting op toegevoegde waarde,intela yesengezo empahleni,irhafu yesongezo sexabiso,umtselo wekwengetwa kwentsengo,umthelo ngokuzeleko,motšhelo wa tlaleletšo,lekgetho le le nang le boleng,lekgetho le ekeleditsweng boleng (Value added tax),muthelomuendangamaga,xibalo xa mixavo
value of money,waarde van geld,amandla emali,ixabiso lemali,linani lemali,amandla wemali,mohola wa tšhelete,boleng jwa madi,boleng ba tjhelete,"ndeme ya tshelede, mutengo",nkoka wa mali
variable cost,veranderlike koste,izindleko eziguqukayo,iindleko ezitshintshayo,tindleko letigucukako,iindleko ezitjhugutjhugulukako,theko ye e fetogago,tshenyegelo ya sefetogi,tefo e fetofetohang,tshinyalelo dza varebuḽu,nxavo lowu nga cincaka
variable costs,veranderlike koste,izindleko eziguqukayo,iindleko ezitshintshayo,tindeko letigucukako,iindleko ezitjhugutjhugulukako,ditheko tše di fetogago,ditshenyegelo tsa sefetogi,ditheko tse fetofetohang,(dzi)tshinyalelo dza varebuḽu,mixavo leyi nga cincaka
variable factor,veranderlike faktor,into engunguqunguqu,ifektha etshintshayo,intfo lengagucuka,ifektha etjhugutjhugulukako,katišani ye e fetogago,ntlha ya sefetogi,ntlha e fetofetohang,fekhitha ya /tshivhumbi tsha varebuḽu (zwi shumiswaho kha u bveledza),xivangelo lexi nga cincaka
variable input,veranderlike inset,umkhiqizo oguqukayo,igalelo elitshintshayo,intfo lengenako lengagucuka,okufakiweko okutjhugutjhugulukako,kabelo ye e fetogago,sethusi sa sefetogi,tlhahiso e fetohang,nungo dza varebuḽu,xitirhisiwa lexi nga cincaka
variable resource,veranderlike hulpbron,insiza eguqukayo,ubutyebi obutshintshayo,umcebo longagucuka,umthombo otjhugutjhugulukako,mothopo wo o fetogago,sedirisiwa sa sefetogi,mohlodi o fetohang,tshiko tsha varebuḽu,xitirhisiwa lexi nga cincaka
VAT,BTW,i-VAT,i-VAT,ivethi,i-VAT,VAT,VAT,VAT,VAT,
vault cash,kluiskontant,ukheshi osebhange,imali ekuvimba,imali yesisefo,ikamerosisefo lokubulunga imali eyikhetjhe,kheše ye e bolokilwego,bobolokelo jwa madi a seatleng,tjhelete e lewana,tshelede i re banngani,mali leyi nga xisefeni
velocity of circulation,omloopsnelheid,isivinini sokujikeleza,inani lokujikeleza kwemali,litubane leluhambo,ibelo lezombelezomali,lebelo la poyaboyo ya tšhelete,bolebelo jwa tikologo,lebelo la potoloho,vhutendeleki ha tshelede,rivilo ra ndzhendzheleko
velocity of circulation of money,omloopsnelheid van geld,isivinini sokujikeleza kwemali,inani lokujikeleza kwemali,litubane leluhambo lwemali,ibelo lezombelezomali,lebelo la poyaboyo ya tšhelete,bolebelo jwa tikologo ya madi,lebelo la potoloho ya tjhelete,vhutendeleki ha tshelede,rivilo ra ndzhendzheleko wa mali
vent for surplus,oorloopontwikkeling,ukuvulela okusele,umtyhi wentsalela,kuvetela insalela,ukukhupha okuseleko okungakasetjenziswa,sekgoba sa mašalela,go neela masaledi,ho hema ha masalla,vhuvhambadzaseli vhukuḓedzi,mbhovo wa nsalo
vertical equity,opwaartse billikheid,umgomo wokukhokhisa kakhulu abahola kahle,isabelo senkampani esithe nkqo,kulinganisa ngekuya etulu,ukutheliswa okweyame emrholweni,tekatekanothwii,tekatekano e e tsepameng,leruo (equity) le tsepameng,vhuunḓi nga vha nṱha,ndzingano wo yima
vertical integration,vertikale integrasie,ukuhlanganiswa kwezigaba zokukhiqiza,ungenelelo oluthe nkqo,kuhlanganiswa lokuya etulu,ukuhlangana kwalokho okukhambelanako,kopanyothwii,tshwaragano e e tsepameng,kopanyo e tsepameng,țhanganyelovanḓa,ku hlanganisiwa ko yima
vertical intercept,vertikale afsnit,iphoyinti lomugqa oqonde mpo emdwebeni oyigrafu,ukuintaseptha okuvethikhali,kuvimbela lokuya etulu,ubeqelo bokukhambelanako,kopano tseleng thwii,kgaoletso e e tsepameng,kgaoletso e tsepameng,thanganyoni ya nzimo/dzi tsaho,yinhla ya nhlangano
vertical merger,vertikale samesmelting,ukuhlangana kwamafemu emboni eyodwa,umanyano oluthe nkqo,kuhlangana kwemafemu emboni yinye,ukuhlangana kwamafemu wemboni eyodwa,kopantšhothwii,kopanyo e e tsepameng,kopano e tsepameng,muṱanganelanovanḓa,nkatsano wo yima
vertical restraints,vertikale beperkings,izihibe ezimiu mpo,imiqobo ebekwa yifemu,tihibe letime tacondza,imikhawulo ebekwa yifemu kwenye,dithibelothwii,ditaolo tse di tsepameng,thibelo e tsepameng,zwikaṱudzi ha ṱhaledzano,swipimelo swo yima
very long run,baie lang termyn,isikhathi eside kakhulu,ixesha leshishini elinokuba neenguquko,sikhatsi lesidze kakhulu,isikhathi eside khulu,lebaka le leteleletelele,motabogo o moleele thata,nako e telele haholo,tshifhinga tshilangwangathekhinoḽodzhi,nkarhi lowo leha
vicious circle of poverty,bose kringloop van armoede,ukuqhubeka kobuphofu obuziphindayo,uqhubeko lokuphinda kobuhlwempu,umjikeleto lomatima webuphuya,umtjhono ogabhe ikani,leboo le lešoro la bodiidi,bothata jwa lehuma,lesakana le iphetaphetang la bofumanehi,vhushai ha tshindole,ndzhendzheleko wo biha wa vusweti
voice mechanism,stemmeganisme,isu lezwi,inkqubo yokuthethathethana ngengqesho,luhlelo lwekukhulunyelwa,iqhinga lelizwi,mokgwa wa go šomiša lentšu le tee,mokgwa wa lentswe,motjha wa tshebetso wa lentswe,dzomo ḽa vhashumi,mbulavurisano
voluntary export restraints,vrywillige uitvoerbeperkings,imikhawulo yokuzibekela ekuthengiseleni amanye amazwe,imiqobo yokuzibekela ekuthengiseleni amanye amazwe,imikhawulo yekutibekela ekutsengiseleni lamanye emave,ukubekela ipahla ephumako imikhawulo ngokuzithandela,dithibelo tša ditšwantle tša mmabomu,dikganelo tsa boithaopo tsa diyantle,thibelo ya thomelontle ya boithatelo,zwikaṱudzamuṋe zwa mbambadzaseli,swipimelo swo tivekela eka ku xavisa nhundzu ematikweni mambe
voluntary export restrictions,vrywillige uitvoerbeperkings,imikhawulo yokuzibekela ekuthengiseleni amanye amazwe,imiqobo yokuzibekela ekuthengiseleni amanye amazwe,imikhawulo yekutibekela ekutsengiseleni lamanye emave,ukubekela ipahla ephumako imikhawulo ngokuzithandela,dithibelo tša ditšwantle tša mmabomu,maparego a boithaopo a diyantle,dithibelo tsa diromelwantle tsa boikgethelo,zwikaṱudzamuṋe zwa mbambadzaseli,swipimelo swo humesa nhundzu
wage,loon,umholo,umvuzo,umholo,umrholo,moputso,tuelo,moputso,muholo,muholo
wage differential,loonverskil,ukwehluka kwemiholo,umahluko womvuzo,kwehlukana kwemholo,ukwahluka komrholo,phetaphetano ya meputso,pharologano ya dituelo,phapang ya meputso,phambanya nga miholo,ku hambana ka muholo
wage discrimination,loondiskriminasie,imiholo ebandlululayo,ucalucalulo lomvuzo,kubandlulula kwemholo,ukubandlulula ngokomrholo,kgethologanyo ya meputso,kgethololo ya dituelo,kgethollo ya meputso,tshiṱalulala nga muholo,xihlawuhlawu xo ya hi muholo
wage rate,loonkoers,izinga lomholo,iqondo lomvuzo,lizinga lemholo,isilinganisimrholo,lebelo la meputso,kelo ya dituelo,sekgahla sa moputso,phimo ya muholo,mpimo wa muholo
wage taker,loonaanvaarder,umamukelimholo,umamkeli womvuzo,umemukeli wemholo,umamukelimrholo,moamogela moputso,motsayadituelo,moamohedi wa moputso,"muṱanganedzamuholo , muholelwa",muteki wa muholo
wage–price spiral,loon-prys-spiraal,ukwehla kwamandla emali ngokwamaholo,umjikelo wexabiso lomvuzo,kutsandzela kwentsengo yemholo,ithelelwano lemirholo neentengo,tharagano ya meputso-ditheko,motshophe wa dituelo le ditlhotlhwa,mothatelo wa moputso-theko,tshinzienzie tsha miholo na mitengo,ndzhendzheleko wa miholo na ntsengo
wages,lone,imiholo,umivuzo,emaholo,imirholo,meputso,dituelo,meputso,miholo,miholo
wages councils,loonrade,imikhandlu yemiholo,ibhunga lemivuzo,imikhandlu yemholo,imikhandlu yemirholo,makgotla a meputso,dikhansele tsa dituelo,makgotla a meputso,khoro ya miholo,tikhansele ta miholo
wants,begeertes,izimfuno,iimfuno,lokufunekako,iimfuno,dinyakwa,dibatliwa,ditlhoko,madzanga,switsakeriwa
weak efficiency (of share markets),swak doelteffendheid (van aandelemarkte),ukusebenza kahle okubuthakathaka (kwezmakethe zamasheya),ubuchule obubuthathaka (beemakethi zezabelo),kucega kwemphumeleliso lekahle (kwemakethe yemasheya),ukuba buthakathaka (kweemakethe zamatjhere),phethagalo ye e fokolago,nonofo e e bokowa ( ya mebaraka ya dišere),bohlwahlwa bo fokolang (ba dimmaraka tsa dishere),thengiso i no lepalepa,vuswikoti lebyi nga tiyangiki (bya timakete ta mikavelo)
wealth,welvaart,ingcebo,ubutyebi,umcebo,umnotho,"ieruo, iehumo",khumo,matlotlo,lupfumo,rifumu
wealth effect,welvaarteffek,umthelela wengcebo,iziphumo zobutyebi,umtselela wemcebo,umphumela womnotho,khuetšo ya mahumo,maatla a khumo,tshisinyo ya matlotlo,țhuṱhuwedzi dza lupfumo,khumbo hi swa rifumo
weighted average,geweegde gemiddelde,i-avareji ekaliwe,umyinge oweyishwayo,kukala imvamisa,i-avareji elinganisiweko,tekatekano ye e lekaneditšwego,palogare e e lekanyeditsweng,bohare bo lekantsweng,tshilelekati,nhlayoxikarhi ya ntikelo
weighting,gewigstoekenning,ukukala,ukuweyisha,kulinganisa,ukulinganisa,kalo,tekanyo,boima-boleng,tshileme,ntikelo
welfare,welsyn,ezenhlalakahle,intlalontle,sondlo,ihlalakuhle,mphiwafela,tlhokomelo,tlhokomelo,ndondolavhathu,nhlayiseko
welfare programs,welsynsprogramme,izinhlelo zezenhlalakahle,inkqubo yentlalontle,tinhlelo tesondlo,amahlelo wezehlalakuhle,mananeo a tša leago,manaane a tlhokomelo,mananeo a tlhokomelo,phurogireme dza ndondolavhathu,minongonoko ya nhlayiseko
wholesale banks,groothandelsbanke,amabhange angamawolisela,iibhanki ezinkulu,emabhange ehholiseyi,amabhanga enza imisebenzi eminengi,dipanka tša go šoma ka didipositi tše dintši,dibanaka tsa bontsi,dibanka tsa pokello bakeng sa thekiso,bannga dza holosela,tibangi to lombisa na ku veka mali yo tala
